customer_id,company_name,contact_name,email,phone,industry,company_size,customer_tier,signup_date,last_interaction,country,state,city,annual_revenue,support_plan,is_active
38,Perry-Lewis,Haley Rodriguez,trose@example.org,669.600.3432,Finance,1975,Bronze,2023-12-30,2023-11-11,Bulgaria,Missouri,New Angelica,6041939,Basic,True
39,"Williams, Smith and Morse",Laura Berry,zroberts@example.org,829-675-1613x69681,Manufacturing,5572,Silver,2023-09-01,2023-05-03,Malawi,South Dakota,New Williamstad,5990476,Standard,True
40,Thomas and Sons,Christian Malone,thompsonkendra@example.com,999.679.9552x717,Government,4510,Bronze,2023-09-14,2023-02-24,Kyrgyz Republic,New Hampshire,North Miguelport,1387332,Basic,True
41,"Hunter, Ford and Spencer",Stephanie Cole,marcalvarez@example.org,9719518203,Retail,8574,Silver,2023-09-23,2024-11-01,Iceland,Nebraska,Erikaton,5714484,Basic,True
42,Grant Group,Nathaniel Douglas,mathewaguilar@example.org,(346)829-1486x528,Retail,5938,Bronze,2023-09-22,2023-05-12,Croatia,Michigan,Leeberg,2699548,Basic,True
43,Romero PLC,Sophia Johnson,nancy92@example.net,(622)929-2706x5379,Healthcare,8759,Silver,2023-08-14,2024-08-13,Latvia,Illinois,Erikashire,7491997,Enterprise,False
44,Strickland-Shaw,Christopher Gonzalez,moniquewilliams@example.com,(881)381-4124x782,Healthcare,7401,Gold,2024-11-10,2023-10-30,Indonesia,North Carolina,Joeland,6389990,Standard,True
45,Galvan-Combs,Raven Taylor,samantha72@example.net,379.601.0432x8986,Healthcare,4944,Bronze,2023-02-04,2023-11-03,South Africa,South Carolina,Brownfort,9093490,Basic,True
46,"Andrews, Higgins and Carter",Harry Duncan,elizabethmiller@example.com,288-888-8067,Finance,4165,Bronze,2023-09-18,2023-02-19,Dominican Republic,Washington,Port Bonniemouth,2338241,Basic,True
47,"Morgan, Day and Greer",Veronica Mendoza,lisabrown@example.com,8439030548,Finance,609,Silver,2023-07-28,2024-09-21,Australia,Tennessee,Joshuastad,7430827,Enterprise,False
48,Kline-Hughes,Kathleen Jimenez,laurie61@example.com,+1-828-445-1154x479,Manufacturing,7282,Gold,2023-11-23,2024-06-14,United States Minor Outlying Islands,Minnesota,Hillton,1358981,Enterprise,True
49,"Owen, Shelton and Cisneros",Lawrence Harrington,martinezjoel@example.net,(456)790-9275x571,Education,5160,Gold,2023-07-02,2023-03-24,Saint Pierre and Miquelon,Idaho,Holmesside,2075701,Premium,False
50,Padilla-Lewis,Melissa Lutz,davidfarrell@example.com,(671)455-1884,Manufacturing,2862,Gold,2024-01-07,2023-03-30,Cook Islands,Florida,Port Troy,6154838,Premium,True
51,"Anderson, Henson and Jones",Mitchell Mendoza,khammond@example.org,(451)477-8528,Education,8248,Bronze,2024-08-29,2024-01-14,Gabon,Hawaii,West Sarah,3882763,Premium,True
52,Singleton-King,Krista Martinez,christina18@example.net,(299)222-9959,Technology,754,Gold,2024-04-20,2024-07-13,Israel,South Carolina,South Pamelaside,4959883,Premium,True
53,Ballard Ltd,Jesse Barker,scottwashington@example.org,992-355-5625x88153,Finance,7376,Silver,2023-04-13,2023-02-06,Yemen,Missouri,Wrightburgh,5593461,Premium,True
54,Jimenez PLC,Shawn Jimenez,landrywilliam@example.org,695.200.4797,Government,1771,Platinum,2023-04-08,2023-07-13,Haiti,Wisconsin,Diazfurt,958283,Standard,True
55,"Roberts, Hughes and Cole",Samantha Hanson,andersoncolin@example.com,985-923-9868x00025,Healthcare,9942,Silver,2023-08-28,2024-03-23,Central African Republic,Montana,Brittneyhaven,8651583,Enterprise,False
56,"Evans, Cabrera and Richardson",Veronica Silva,carlsonjoseph@example.net,001-399-530-9728x96230,Technology,7235,Gold,2023-11-02,2023-10-29,Costa Rica,Nebraska,Salaston,2416639,Standard,True
57,Bolton-Mendoza,Tyler Stevens,amy49@example.com,934.784.3443,Education,5724,Gold,2023-07-30,2024-02-23,Mayotte,Missouri,Cardenasberg,4972986,Basic,True
58,"Miller, Bradshaw and Douglas",Cindy Clayton,sarah42@example.org,+1-993-330-8330x165,Manufacturing,2262,Bronze,2024-12-05,2024-12-14,Cayman Islands,Nebraska,Woodsborough,4919172,Premium,True
59,"Brown, Mack and Pearson",Parker Jefferson,gentrygregory@example.org,3677240049,Finance,7454,Platinum,2024-10-11,2023-04-08,Madagascar,New Jersey,Jamesville,5647958,Standard,False
60,Wong-Higgins,George Phillips,gregorychase@example.com,(585)916-1227x53046,Government,4384,Gold,2023-08-09,2024-06-11,Algeria,Kentucky,Heatherton,2083483,Enterprise,True
61,Sullivan PLC,Stacy Carrillo,fowlershelia@example.com,+1-533-527-2795x687,Manufacturing,9771,Bronze,2024-01-19,2024-01-21,Guyana,California,North Mariahaven,3491627,Standard,True
62,Bond-Ramos,Michelle Burns,dstokes@example.org,367.290.8740x64039,Education,5654,Bronze,2024-01-31,2023-02-13,Uganda,California,Johnsonchester,3119585,Standard,False
63,"Good, Brewer and Fisher",Janet Kane DVM,qmiller@example.net,(251)228-6823,Finance,7595,Platinum,2024-01-24,2024-08-24,Egypt,New Jersey,Ericborough,1993218,Basic,True
64,Mendez-Mayer,Cynthia Jones,griffinemily@example.org,606.573.8302,Government,9448,Gold,2024-02-26,2024-07-17,Svalbard & Jan Mayen Islands,Massachusetts,West Nancy,8845141,Standard,True
65,Hill-Hawkins,Nancy Thompson,dpeters@example.com,+1-568-656-6246x2873,Government,2375,Platinum,2024-10-29,2024-02-15,Israel,Oklahoma,South John,3511424,Premium,True
66,Nielsen LLC,Nathaniel Lee,nicholas99@example.org,239-583-7354,Healthcare,1932,Platinum,2024-10-29,2024-05-22,Romania,Indiana,Hermanside,5495804,Premium,True
67,Ferguson-Howard,Jose Crawford,langjennifer@example.com,655.860.9320,Finance,2507,Silver,2023-08-29,2023-10-05,Syrian Arab Republic,Kansas,Piercemouth,4417226,Enterprise,False
68,"Singh, Murray and Oconnor",Charles Payne,sabrinaweaver@example.net,3804100623,Technology,3593,Platinum,2023-09-30,2024-03-27,Papua New Guinea,South Carolina,Hopkinstown,210936,Enterprise,True
69,Moreno LLC,Donna Shaw,ldrake@example.org,682-833-9845,Technology,6122,Platinum,2023-12-02,2023-06-27,Qatar,Iowa,Gabriellaland,631577,Basic,True
70,Bennett-Alvarez,Michele Miller,vnewman@example.net,380-633-9740,Retail,9242,Bronze,2023-05-11,2024-09-12,Andorra,Indiana,Port Lori,6782298,Basic,True
71,Elliott PLC,Jasmine Mosley,patrick21@example.net,001-250-616-3159x9965,Government,7391,Platinum,2023-06-16,2024-02-08,Honduras,Nevada,Lake Brenda,6476562,Basic,False
72,"Phillips, Wright and Jones",James Bowers,jodistewart@example.org,404-875-4121,Education,9135,Platinum,2023-03-17,2023-03-07,Micronesia,Colorado,Michelletown,4996386,Enterprise,True
73,Hardy PLC,Vanessa Armstrong,ginajackson@example.com,647-521-2646x4715,Manufacturing,8133,Silver,2023-12-01,2023-04-09,Albania,Montana,Meaganfurt,5628792,Enterprise,True
74,Ochoa-Villarreal,Brandy Flores,timothythompson@example.com,447-293-5646x51939,Manufacturing,7573,Silver,2023-11-17,2023-08-01,Puerto Rico,California,Chambersberg,5180688,Standard,True
75,"Moore, Henderson and Bennett",Kyle Aguilar,ystephens@example.com,001-789-811-3529x096,Technology,182,Bronze,2023-07-08,2024-01-08,Maldives,Oklahoma,South Neil,7868911,Standard,True
76,Webb LLC,Vernon Wilson,michaelcooper@example.org,375.471.7751x40105,Manufacturing,4006,Silver,2024-02-07,2023-08-30,Japan,New Jersey,Port Richard,3194587,Standard,True
77,"Reynolds, Johnson and Mendez",Kevin Price,jamiegoodwin@example.org,001-618-925-5371,Retail,5144,Platinum,2024-03-22,2024-03-04,Guernsey,Minnesota,Williamsonport,1521902,Standard,True
78,Allen Inc,Michael Dixon,kcarlson@example.com,(227)782-8274x22579,Technology,7949,Silver,2023-05-23,2023-10-08,Monaco,North Carolina,Ortizfort,7073121,Enterprise,True
79,Miller Inc,Connie Johnson,amandajackson@example.com,001-778-281-9148,Government,7241,Silver,2024-12-23,2023-03-16,Switzerland,Tennessee,West Nancy,640736,Enterprise,True
80,Atkins-Miller,Autumn Cain,lisamatthews@example.com,001-696-429-2330x958,Finance,4804,Gold,2024-02-23,2024-11-26,Malaysia,Utah,East Sydneychester,1094652,Premium,True
81,Miles and Sons,Michael Poole,kburns@example.net,766-271-1684x577,Government,1536,Platinum,2024-04-08,2024-05-24,Thailand,California,Robinsonchester,3654277,Enterprise,True
82,Clayton-Morgan,Kylie Washington,patricia00@example.org,+1-670-312-7706x3242,Manufacturing,5915,Gold,2023-03-02,2024-04-30,Pakistan,Hawaii,South Conniebury,7301300,Basic,False
83,Smith Group,Kevin Stone,ssmith@example.com,362-771-3611,Finance,4912,Silver,2023-10-07,2024-08-16,Tunisia,Florida,North Alyssa,242182,Standard,True
84,Bowen-Fuller,Jason Parks,christophergarcia@example.org,001-565-665-2341,Government,449,Gold,2023-05-30,2024-03-19,Comoros,West Virginia,Phillipston,4115476,Enterprise,True
85,Allen Ltd,Kelsey Levine,sarah26@example.net,(858)627-1091x04300,Manufacturing,8219,Platinum,2023-11-06,2023-10-21,Northern Mariana Islands,Ohio,West Christopher,1425761,Standard,True
86,"Murphy, Willis and Hines",Maria Collins,pblair@example.org,416.317.9904,Technology,2258,Bronze,2023-04-30,2024-11-26,Mali,North Dakota,Garyberg,4609119,Basic,False
87,Rogers Group,Austin Joseph,crawfordwilliam@example.org,292.552.4191x3800,Technology,7739,Gold,2023-10-07,2023-04-20,Venezuela,Arizona,Walkerbury,7083626,Premium,True
88,Duncan Inc,Stephanie White,finleycasey@example.com,545-918-7053x4949,Finance,9704,Platinum,2024-12-29,2024-07-20,Saint Martin,Ohio,East Adam,6979264,Basic,True
89,"Reed, Franco and Wiley",April Sandoval,dalton83@example.com,302.441.0386x5719,Manufacturing,6471,Bronze,2024-03-08,2023-02-15,Panama,Florida,West Jose,5384972,Enterprise,False
90,"Nguyen, Chavez and Hall",Brandy Carrillo,moorefrank@example.com,261-585-3747x41124,Government,5380,Silver,2023-03-08,2023-07-01,Guinea-Bissau,Montana,Lake Kentburgh,621470,Enterprise,True
91,"Adkins, Wright and Murray",Brenda Smith,davidcolon@example.com,+1-219-994-1013x72151,Technology,2762,Platinum,2024-08-22,2023-10-16,Antarctica (the territory South of 60 deg S),Missouri,Thompsonborough,3239874,Premium,True
92,Stephenson-Johnson,Danielle Phillips,eandrade@example.org,246-826-3838,Government,5893,Platinum,2024-02-02,2023-12-20,United States Minor Outlying Islands,Oregon,Paulburgh,537264,Premium,True
93,Johnson LLC,William Moreno,terrigarcia@example.net,448.503.9652,Retail,5220,Gold,2024-10-29,2023-01-21,Reunion,Minnesota,New Stacy,8358194,Premium,True
94,Johnson-Brown,Alicia Woods,samantha32@example.com,001-725-800-2921x851,Retail,1665,Gold,2023-08-09,2023-04-10,Cayman Islands,Washington,Connerfort,5423132,Standard,False
95,"Steele, Mcfarland and Buchanan",Kevin Thompson,jessica42@example.org,001-909-469-0295x9391,Finance,1284,Silver,2023-09-11,2023-08-22,North Macedonia,Colorado,Seanview,3617918,Standard,False
96,Bell Inc,Amber Kim,acosta@example.com,(258)761-7932x7104,Finance,1725,Bronze,2023-09-07,2024-10-10,Central African Republic,Washington,New Shellyland,5769869,Enterprise,False
97,Reynolds Ltd,Steve Moore,riveraterri@example.com,001-988-444-4310x698,Technology,5921,Bronze,2023-11-09,2023-08-04,Panama,South Dakota,Gonzaleztown,3572094,Standard,True
98,Rowland-Wells,Richard Ruiz,christopher86@example.org,(265)427-0477x434,Government,1594,Bronze,2024-05-02,2024-08-12,Isle of Man,Wisconsin,New Bruce,6594562,Enterprise,True
99,"Camacho, Wells and Keith",Blake Orr,shawrachel@example.net,+1-592-417-2233x20616,Government,9759,Gold,2023-08-22,2024-06-14,Sri Lanka,California,South Angelaside,5571499,Premium,True
100,Stark-Smith,Laurie Harrington,perryeddie@example.net,001-611-891-4856,Manufacturing,7965,Platinum,2023-01-28,2023-07-21,Cambodia,South Carolina,Williamsmouth,4085919,Basic,False
101,Mccall-Prince,Robert Turner,megan13@example.org,775-246-9137x3678,Retail,2614,Bronze,2023-08-16,2024-01-05,Burkina Faso,Wyoming,East Jamesborough,1066829,Standard,True
102,Williams-Ward,Jacob Marshall,hreid@example.net,7357797279,Healthcare,4247,Bronze,2023-07-28,2023-10-10,Central African Republic,Oregon,Port Jeffrey,3876753,Standard,True
103,"Ortiz, Smith and Deleon",Alexa Buck,carolynsmith@example.com,+1-844-366-5743x748,Technology,8390,Gold,2024-02-14,2024-03-09,Finland,Maryland,South Calebview,5554894,Premium,True
104,"Dawson, Stafford and Evans",Ralph Yoder,rguerrero@example.org,001-507-944-6660x9935,Manufacturing,5883,Gold,2024-09-09,2024-09-05,Turkey,Oklahoma,West Connor,2246546,Premium,False
105,"Hines, White and Frazier",Brandon Kelly,robert55@example.com,001-347-917-0999,Healthcare,8209,Bronze,2024-09-25,2023-10-06,French Southern Territories,Nebraska,Port Melissaberg,3460419,Premium,True
106,"Orozco, Hatfield and Thomas",Catherine Miller,crystal25@example.net,3074432927,Retail,7115,Platinum,2023-10-22,2024-12-05,Hungary,Alabama,New Jamesstad,336174,Premium,False
107,"Lee, Rhodes and Sims",Michael Cooper,curtisgordon@example.com,(710)844-7898,Manufacturing,2202,Gold,2024-12-28,2023-12-24,Sao Tome and Principe,Illinois,Port Richard,3932222,Standard,False
108,Clark Inc,Caroline Richardson,brooksdanielle@example.net,+1-609-901-0016x761,Manufacturing,2518,Silver,2024-05-22,2024-04-05,Gabon,Nebraska,Lake Abigailberg,7126730,Basic,True
109,"Williamson, Campbell and Glover",Mr. Richard Decker DVM,jade42@example.org,+1-373-975-3001,Healthcare,1485,Bronze,2024-06-12,2023-03-15,Equatorial Guinea,Tennessee,South Vanessa,5066428,Premium,True
110,Garcia and Sons,Sarah Ward,ronald11@example.org,7227557941,Healthcare,1875,Platinum,2023-10-20,2023-11-30,Syrian Arab Republic,Missouri,Marshburgh,1996774,Standard,False
111,"Brown, Dunlap and Moore",Kevin Pham,ywhite@example.com,+1-202-577-1670x145,Manufacturing,5552,Bronze,2023-11-12,2024-06-14,Liberia,Minnesota,Hernandezside,1015467,Basic,True
112,Wagner Group,Sheila Jones,vflores@example.com,9839866317,Technology,8176,Platinum,2023-08-19,2024-12-16,Samoa,Tennessee,North Richardton,9447107,Basic,True
113,"Richmond, Walsh and Wu",Mary Bryant,michael03@example.com,789-397-5711x30554,Technology,2699,Platinum,2023-04-13,2024-06-07,Saint Helena,Nebraska,West Cherylborough,2125778,Enterprise,True
114,Summers-Lee,Peter Williams,bartonshannon@example.net,001-982-470-8086,Manufacturing,9489,Silver,2024-06-17,2023-04-04,Iceland,Texas,Williamfurt,7124028,Standard,True
115,Stuart-Waller,Casey Gutierrez,megan85@example.net,001-383-733-9452x2885,Retail,7880,Platinum,2024-05-07,2024-10-14,Martinique,Maine,Stokeshaven,1886278,Basic,True
116,Brown Inc,Paul Martin,frances20@example.net,638-205-7198x3863,Education,6359,Platinum,2024-11-29,2024-12-13,Germany,Oklahoma,North Juliaborough,7533377,Standard,True
117,"Mckinney, Richardson and Chapman",Christina Hardy,kellythompson@example.net,622-481-6064,Healthcare,9578,Gold,2023-01-05,2023-12-07,Vietnam,Georgia,East Sarahton,5152539,Enterprise,True
118,"Howard, Bowers and Stewart",Clinton Jones,robertherrera@example.org,(233)355-5439x878,Manufacturing,5678,Platinum,2023-06-25,2024-04-13,Uruguay,South Carolina,North Felicia,5484429,Enterprise,True
119,Scott-Ramsey,Jose Townsend,stucker@example.net,358.511.2880,Manufacturing,3502,Platinum,2024-09-02,2023-05-31,Switzerland,Vermont,Lucasland,2679573,Basic,True
120,"Rivera, Miller and Brown",Kristin Andrews,rhondarussell@example.com,+1-366-750-6180x9190,Retail,1748,Gold,2024-07-28,2023-08-08,Benin,Maine,Jamestown,8052193,Standard,True
121,Taylor Group,Sarah Phillips,kennetheaton@example.net,+1-350-688-2100x9968,Healthcare,5643,Silver,2023-10-29,2024-04-16,Malaysia,Georgia,East Jeffrey,4340303,Standard,True
122,Lambert PLC,Sarah Randolph,enewman@example.com,+1-314-513-9755x23149,Finance,7970,Platinum,2023-08-28,2024-04-26,Puerto Rico,Pennsylvania,New Ashley,5407189,Enterprise,True
123,Edwards and Sons,Margaret Hill,dennis57@example.com,554.678.1291x428,Manufacturing,1262,Bronze,2024-10-13,2024-09-12,Norfolk Island,Alaska,Hammondborough,714990,Premium,True
124,"Kennedy, Rowe and Diaz",Raymond Quinn,dennis88@example.org,(458)903-9282x7229,Finance,672,Silver,2024-07-09,2023-06-19,Estonia,Mississippi,North Elizabeth,8788672,Premium,True
125,Hardin-Keith,Matthew Garcia,mary49@example.net,001-826-565-9184,Retail,6659,Gold,2024-08-19,2023-09-09,Somalia,New Mexico,New Nicolemouth,2878404,Standard,True
126,"Schneider, Lewis and Lopez",Mitchell Wilson,robertrivera@example.org,477.439.2603x0299,Manufacturing,8409,Bronze,2024-10-12,2023-04-18,Chad,Kentucky,New Susan,9555717,Basic,False
127,"Stanley, Campbell and Miller",Willie Dillon,jeffreyjenkins@example.org,001-329-584-2579,Education,6325,Silver,2023-03-21,2023-05-28,Tokelau,North Carolina,Serranoville,3076650,Enterprise,True
128,"Williams, Bowers and Gordon",John Anderson,princekimberly@example.net,(886)450-8637x65991,Finance,7827,Silver,2024-10-26,2023-03-03,Netherlands Antilles,Ohio,Scotttown,219354,Basic,True
129,Brooks and Sons,Emily Cox,ronaldrichards@example.com,+1-969-459-4636,Finance,9170,Platinum,2023-07-05,2023-08-12,Guatemala,Wyoming,Fitzgeraldville,3954922,Enterprise,False
130,Garcia PLC,George Pierce,martintamara@example.org,727-396-1143,Retail,628,Platinum,2024-11-10,2023-10-20,Palau,North Dakota,Jenniferton,3040561,Enterprise,True
131,Harris Ltd,Kelly Lee,christinacraig@example.com,502.214.6566,Manufacturing,1134,Bronze,2024-02-06,2024-06-14,Monaco,Pennsylvania,Michaelview,3896608,Standard,True
132,Andrews-Green,Brian Jones,matthew18@example.com,+1-994-976-9735,Retail,458,Platinum,2023-03-26,2023-02-19,North Macedonia,Iowa,Port Leslie,6023972,Basic,False
133,Wright-Davis,Samantha Jones,thomasgomez@example.net,723-473-3343x333,Government,1757,Bronze,2024-11-02,2024-05-08,Panama,New York,Port Mercedeston,8191518,Premium,True
134,Vasquez-Galloway,Sheila Henry,raymond92@example.org,267.280.8562x71875,Manufacturing,3462,Platinum,2024-02-29,2023-08-26,New Zealand,Kentucky,New Jose,4619920,Enterprise,True
135,Diaz-Jimenez,Michael Watson,lramirez@example.net,(593)414-3866,Government,2460,Platinum,2024-08-11,2023-05-09,Luxembourg,Florida,Kristenport,4310645,Basic,True
136,Vaughn Inc,David Combs,colematthew@example.com,(488)645-0615x939,Finance,5336,Platinum,2024-07-19,2023-11-23,Belgium,Missouri,Stevenberg,2911450,Premium,True
137,"Salazar, Sullivan and Meadows",Greg Edwards,jennifer96@example.com,359.587.6220x234,Healthcare,6515,Bronze,2023-03-11,2024-11-14,Lebanon,Oklahoma,North Kellihaven,1496723,Basic,True
138,"Moore, Pena and Mcclure",David Mitchell,davidroberson@example.org,4554778487,Retail,9800,Platinum,2024-04-05,2024-04-09,Mongolia,Nevada,Reginafort,9154128,Standard,True
139,Parker-Gutierrez,Adam Mills,mauriceharrison@example.org,001-577-840-6493x085,Retail,7171,Platinum,2023-07-02,2024-06-05,Oman,Missouri,Walkerland,7184001,Standard,True
140,"Aguirre, Cohen and Mitchell",Rhonda Gutierrez,whitekeith@example.net,297.449.7350x208,Technology,4632,Gold,2023-04-02,2023-11-17,Algeria,Iowa,East Alexisborough,5836345,Enterprise,True
141,Bolton-Ford,Erin Bridges,brianrowe@example.org,+1-872-934-6013,Healthcare,559,Silver,2023-12-03,2024-07-16,Mali,Texas,South Paul,5336326,Premium,True
142,"Chandler, Garner and Dunn",John Evans,paige31@example.org,+1-965-402-4916x3009,Finance,1476,Silver,2023-04-26,2023-03-08,Niger,Michigan,North Michaelberg,9098515,Basic,True
143,Hall-Holden,Nicole Trujillo,bquinn@example.net,(452)740-7784x8739,Finance,7684,Gold,2024-09-25,2024-03-13,Tokelau,Oklahoma,North Amanda,7639415,Premium,True
144,"Richardson, Smith and Little",Cody Smith,kimberly35@example.net,686-738-7829,Education,5286,Bronze,2023-03-12,2024-04-25,Aruba,Florida,Port Anthony,1896087,Enterprise,True
145,Johnson Ltd,Mary Fox,brandon39@example.net,803-771-7058,Government,965,Gold,2024-01-22,2024-06-20,Syrian Arab Republic,Maryland,East Susanville,1798275,Standard,True
