lead_id,company_name,contact_name,email,phone,title,company_size,industry,lead_source,campaign_id,assigned_rep_id,lead_score,status,created_date,last_activity,converted_date
24,Willis-Hernandez,Rickey Gallegos,xcuevas@example.net,(759)253-7233x273,Statistician,226,Manufacturing,Cold Call,12.0,4.0,18,Contacted,2024-11-01,2023-09-27,
25,Whitehead LLC,Christopher Peters,jenniferrodriguez@example.org,207-339-0620,"Accountant, chartered",4681,Manufacturing,Email Campaign,10.0,,98,Converted,2024-12-28,2023-03-26,
26,"Sims, Matthews and Moreno",Vincent Ramos MD,seth98@example.org,221.218.0541,Hydrogeologist,4952,Healthcare,Email Campaign,2.0,2.0,81,Contacted,2024-07-19,2023-09-17,
27,Benjamin PLC,Steven Maldonado,thomaschelsea@example.net,(234)605-0831x2233,Personnel officer,6081,Education,Partner,,48.0,22,New,2023-12-11,2023-02-05,2023-05-15
28,Berry-Davis,Carl Buckley,wmartinez@example.com,366.432.9297x91598,Hospital doctor,1029,Technology,Cold Call,6.0,13.0,90,Qualified,2023-02-01,2023-12-08,
29,"Nichols, Kane and Fuller",Stephen Kim,oriley@example.org,001-725-635-5523,Broadcast engineer,9037,Education,Referral,15.0,,81,Contacted,2024-09-13,2024-04-02,
30,Page Inc,Darren Rice,austin69@example.com,(726)584-3615,Paediatric nurse,8577,Finance,Referral,19.0,,39,Contacted,2024-11-12,2024-07-10,
31,Krueger LLC,Mrs. Alexis Schmidt,vsmith@example.net,5887915859,Agricultural consultant,3712,Manufacturing,Website,,38.0,82,Contacted,2023-11-01,2024-03-04,
32,Wilkerson Inc,Catherine Marquez,craig03@example.net,363-378-2789,"Journalist, newspaper",1048,Manufacturing,Website,,33.0,49,Converted,2024-11-16,2024-08-10,
33,"Ellis, Powers and Foley",Daniel Gibbs,mlloyd@example.org,241.712.3705,"Scientist, marine",7239,Manufacturing,Cold Call,16.0,34.0,11,Converted,2023-10-09,2024-01-11,
34,"Sharp, Vargas and Jordan",Julie Garrett,sean05@example.org,(246)495-6514,Cabin crew,9083,Finance,Social Media,,30.0,7,Contacted,2024-03-29,2023-05-14,2024-02-16
35,"Mendez, Lambert and Yu",Brian Werner,dlee@example.net,788.649.8774,Insurance underwriter,2047,Technology,Trade Show,9.0,46.0,37,New,2023-06-16,2023-02-27,
36,Holmes Inc,Xavier Ruiz,karen97@example.org,(962)807-1894,Financial controller,9618,Finance,Cold Call,,44.0,47,Qualified,2024-09-13,2024-04-26,
37,Parker Inc,Donald Tate,bgonzales@example.org,001-733-224-4507,Press photographer,3222,Retail,Cold Call,14.0,12.0,43,Contacted,2024-03-12,2024-07-10,
38,Roberts-Jennings,Patricia Kelly,phillip33@example.org,8988749484,Animal nutritionist,6497,Healthcare,Trade Show,,,26,New,2024-02-14,2024-05-07,
39,Flores Ltd,Jason Keller,kathleen87@example.com,+1-481-315-9169x723,Community development worker,5986,Manufacturing,Cold Call,19.0,4.0,40,Converted,2024-05-21,2024-02-05,
40,Johnson and Sons,Monique Nguyen,nicholsonjason@example.org,404.794.3097,Actor,2322,Manufacturing,Social Media,11.0,49.0,45,Disqualified,2023-02-27,2024-08-17,2024-12-01
41,Morgan Group,Robert Roberson,opalmer@example.net,(860)473-9813x91086,"Social research officer, government",6332,Retail,Website,20.0,33.0,44,New,2023-09-09,2023-08-15,
42,Garcia-Butler,Joshua Harris,tylerchristy@example.org,001-313-984-2293x82680,Geographical information systems officer,4030,Education,Website,18.0,30.0,9,Contacted,2024-03-05,2024-12-11,
43,Spence-Williams,Stacy Gibbs,evansnathan@example.com,001-491-866-9582x8632,Air broker,3028,Technology,Partner,5.0,24.0,48,Contacted,2024-03-02,2024-05-22,2024-04-30
44,Oconnell-Underwood,Tiffany Carter,denise31@example.com,7727054415,Building services engineer,8557,Retail,Social Media,,34.0,66,Converted,2023-01-17,2023-05-08,
45,Gibson-Ramos,Kayla Weber,rachaelalexander@example.com,413-751-3908,Architectural technologist,193,Manufacturing,Trade Show,4.0,4.0,34,Qualified,2024-10-07,2024-01-04,2024-07-29
46,Trujillo and Sons,Maria Maxwell,jacob21@example.com,6276560524,Advertising account planner,2070,Technology,Cold Call,19.0,9.0,84,Qualified,2023-03-03,2023-02-10,
47,Evans and Sons,Gregory Wagner,blakerush@example.net,(536)873-2594x76625,Comptroller,1917,Healthcare,Website,5.0,34.0,56,Contacted,2024-09-16,2024-06-24,2023-11-13
48,"Washington, Johnson and Ward",Thomas Ruiz,kelly64@example.org,560.766.6972x9496,Copy,3059,Retail,Trade Show,3.0,,85,Converted,2023-08-01,2024-05-06,
49,Hood Group,Candice Smith,beltrantara@example.net,001-788-568-0232x89461,Location manager,3542,Retail,Trade Show,7.0,2.0,30,Converted,2024-06-22,2024-11-27,2024-11-18
50,"Herrera, Ortiz and Johnson",Isaiah Griffin,richard60@example.org,001-574-200-6441x187,"Radiographer, diagnostic",1563,Retail,Social Media,12.0,47.0,81,Qualified,2024-04-14,2023-06-20,
51,"Ward, Harris and Gardner",Emily Watson,mia48@example.net,001-454-406-3441,Marketing executive,6884,Education,Referral,14.0,,13,Qualified,2023-07-02,2023-12-23,
52,Gaines-Griffin,Cathy Becker,melvin96@example.com,692-268-7625,"Production assistant, radio",3514,Manufacturing,Referral,2.0,12.0,16,Converted,2024-05-22,2023-06-02,2024-03-25
53,Alexander and Sons,Chad Edwards,mark69@example.org,+1-279-616-0266x3479,Ranger/warden,3307,Technology,Referral,18.0,4.0,97,New,2023-04-11,2024-01-30,
54,"Mcpherson, Santana and Martinez",Jeffrey Smith,nicholasharris@example.org,(944)713-5393x15896,Health physicist,8256,Manufacturing,Referral,,5.0,19,Qualified,2024-06-13,2023-01-25,
55,Mendoza-Jones,Elizabeth Nolan,singhsean@example.org,994-289-6738,Charity officer,2324,Manufacturing,Partner,,20.0,32,Disqualified,2023-01-18,2023-04-19,
56,Herrera-Stuart,Miss Andrea Kirby,fergusonbrittany@example.net,+1-687-912-0996x7698,Industrial buyer,6489,Retail,Referral,,40.0,19,Converted,2024-05-15,2024-11-24,
57,Compton-Allen,Joe Wagner,cjenkins@example.com,+1-587-350-0703x284,Volunteer coordinator,2607,Technology,Social Media,,,32,Converted,2023-09-19,2024-10-04,2023-02-18
58,"Buchanan, Mckinney and Clayton",Sara Love,suzanne68@example.net,3299080509,Personal assistant,972,Retail,Social Media,,19.0,89,Qualified,2024-11-15,2023-02-11,2024-09-17
59,"Robertson, Mccarthy and Macdonald",Angela Phillips,cruzryan@example.com,558-757-0631x99242,Chiropractor,5638,Manufacturing,Referral,8.0,25.0,71,Qualified,2024-02-02,2024-08-28,2024-02-29
60,Munoz Group,Dennis Moss,jessicavillanueva@example.net,791-770-2541x220,Ergonomist,1205,Education,Partner,8.0,4.0,53,New,2023-04-03,2024-02-21,
61,Bennett-Duncan,Samantha Walker,hlarson@example.net,+1-443-351-6120x55412,Orthoptist,8319,Education,Social Media,14.0,17.0,18,Qualified,2023-10-28,2024-12-22,
62,"Sims, Hampton and Martin",Valerie Anderson,richardgarcia@example.com,(795)373-9379,"Engineer, production",4115,Finance,Social Media,9.0,23.0,16,Qualified,2023-11-19,2024-06-01,2024-05-19
63,"Allen, Irwin and Hammond",Lauren Peterson,timothygoodman@example.org,001-218-202-2806x665,Health promotion specialist,5541,Retail,Referral,,45.0,22,New,2024-11-11,2023-12-10,
64,Gordon-Davis,Tyler Landry,samuel63@example.org,835-543-7655x85478,Electronics engineer,2795,Education,Cold Call,17.0,,56,Qualified,2023-03-03,2023-07-27,
65,Sanchez Ltd,Samantha Black,collinskayla@example.net,+1-473-254-3100x65621,Exhibition designer,5322,Technology,Email Campaign,,27.0,94,New,2023-10-16,2023-11-03,
66,"Olson, Hoffman and Lopez",Michaela Marshall,christopherjones@example.com,514.337.0629x5333,Secondary school teacher,6845,Education,Trade Show,19.0,9.0,65,Qualified,2024-09-03,2023-06-14,
67,Phillips-Jones,Anita Bell,brooksbilly@example.org,(652)621-2414x668,Commercial/residential surveyor,2883,Retail,Referral,,16.0,8,Qualified,2024-12-28,2024-10-28,2023-09-19
68,"Lopez, Caldwell and Vincent",Kendra Tran,juliekeller@example.com,001-268-955-7674x04372,Patent examiner,9144,Technology,Referral,19.0,14.0,68,Qualified,2024-12-13,2023-08-21,
69,Ellison and Sons,Maria Barnes,mayoyvonne@example.org,001-646-631-9751x03589,Community development worker,7652,Finance,Social Media,,,86,New,2023-05-07,2024-02-19,2024-05-23
70,"Rivas, Hill and Powell",Breanna Smith,katie60@example.net,947.963.4951,Structural engineer,4484,Finance,Cold Call,6.0,,92,New,2023-09-05,2024-03-02,2024-01-27
71,"Hayes, Savage and Ashley",Gina Martin,michelle46@example.org,2184333194,Broadcast journalist,5221,Healthcare,Website,13.0,28.0,50,New,2023-07-13,2024-09-29,
72,Espinoza LLC,Leslie Fitzgerald,philip65@example.net,+1-834-615-0089x7236,Camera operator,2999,Education,Referral,9.0,29.0,10,Converted,2024-10-09,2023-01-12,
73,"Flores, Gray and Suarez",Nicole Mccann,agreen@example.net,(861)289-2832x10753,"Engineer, control and instrumentation",364,Finance,Referral,,11.0,8,Contacted,2024-02-10,2024-04-17,
74,Jordan Group,Andrew Wells,roberto96@example.org,726-257-1470,Chemical engineer,1609,Education,Referral,,9.0,25,New,2024-07-18,2023-04-08,2024-04-01
75,Kelley Inc,Jonathan Bray,donald19@example.com,3848747226,"Presenter, broadcasting",1615,Healthcare,Trade Show,,20.0,59,Disqualified,2024-10-18,2023-10-17,
76,"Lara, Clark and Serrano",Marie Anderson,jeromehaynes@example.com,236-794-9991x0871,Forensic scientist,1800,Manufacturing,Referral,,10.0,15,Contacted,2023-06-03,2024-04-22,
77,Meza Inc,Aaron Hansen,christensenrandy@example.com,280-870-9500,"Psychologist, counselling",1581,Finance,Partner,11.0,5.0,69,Qualified,2023-04-18,2024-11-01,
78,Beltran PLC,Kara Farmer,williamschristopher@example.net,+1-756-859-2852x106,Tourism officer,504,Retail,Trade Show,2.0,12.0,78,Converted,2024-02-15,2023-08-07,2023-08-15
79,Barber-Bond,Donna Poole,sarahshaw@example.net,(309)586-8342x469,IT sales professional,3925,Finance,Social Media,13.0,26.0,2,Qualified,2024-02-04,2023-01-03,
80,Chavez-Hines,Brian Newton,armstrongamy@example.net,639.288.6133,"Administrator, Civil Service",3607,Healthcare,Cold Call,1.0,45.0,39,Qualified,2023-07-15,2024-10-17,
81,"Crane, Howard and Hunt",Sherri Wade,adam99@example.org,3437135672,Therapeutic radiographer,4650,Education,Referral,17.0,,75,Qualified,2023-12-25,2024-10-09,
82,"Bowen, Sutton and Walker",Terry Lambert,reneewilliams@example.org,(216)302-8594x679,"Psychologist, sport and exercise",9405,Education,Trade Show,,32.0,53,Disqualified,2024-07-03,2024-07-05,2024-04-15
83,Woods Ltd,Kathleen Gonzalez,harrischarles@example.org,549-992-6283,Clinical psychologist,9712,Technology,Social Media,18.0,,98,Disqualified,2023-01-04,2024-12-17,2023-05-18
84,"Patterson, Jacobs and Barnett",Dr. Amanda Spencer,lydiarangel@example.com,+1-912-752-5421x6121,Office manager,8445,Manufacturing,Partner,9.0,16.0,99,Qualified,2023-08-12,2024-01-02,
85,"Brown, Glover and Martinez",William Obrien,cardenasrichard@example.com,9488434362,Building surveyor,825,Technology,Cold Call,16.0,29.0,63,Contacted,2024-05-25,2024-08-08,2024-09-16
86,"Berry, Gonzalez and Calhoun",Stephen Lewis,millerpeter@example.net,(283)781-4036,Manufacturing systems engineer,5779,Finance,Cold Call,9.0,36.0,17,Disqualified,2024-01-03,2023-02-13,
87,Morris Inc,Amy Rodriguez,masonlisa@example.com,001-786-482-1069,"Psychotherapist, child",8278,Education,Trade Show,5.0,26.0,74,New,2024-11-03,2024-11-24,
88,"Sanders, Robinson and Reilly",Karen Murray,megan33@example.net,821-644-3659x334,Corporate investment banker,9482,Healthcare,Social Media,16.0,26.0,42,Converted,2023-07-04,2023-04-02,
89,Green Ltd,Jennifer Byrd,ryangarcia@example.com,(796)704-2424x562,Office manager,9731,Technology,Partner,12.0,11.0,6,Disqualified,2023-05-14,2023-07-14,
90,"Beasley, Jones and Lopez",Timothy Ryan,jacob98@example.net,+1-324-823-8559x772,Hydrographic surveyor,519,Healthcare,Email Campaign,10.0,,8,Contacted,2023-04-21,2024-04-24,
91,Mcfarland-Hall,Julie Anderson,qphillips@example.net,+1-329-882-8163x2234,Travel agency manager,2921,Technology,Trade Show,12.0,3.0,44,Qualified,2024-07-30,2023-01-18,
92,"Rose, Stewart and Whitehead",William Allen,xgonzalez@example.net,(763)372-8964,"Surveyor, planning and development",6273,Education,Referral,,24.0,98,New,2024-11-04,2023-11-03,2023-07-17
93,"Shaw, Rowe and Schaefer",Rachel Brock,mhunter@example.net,543-302-0596x624,Photographer,5190,Technology,Social Media,6.0,34.0,27,New,2024-01-08,2024-05-04,
94,"Gonzalez, Garcia and Johnson",Heather Mason,villarrealdeborah@example.com,+1-752-923-5358x3330,Transport planner,5060,Technology,Social Media,1.0,2.0,61,Converted,2024-02-04,2023-06-30,
95,Young-Hall,Suzanne Ray,woodtamara@example.org,+1-648-488-8209x00578,Analytical chemist,9083,Retail,Social Media,16.0,22.0,84,Disqualified,2024-11-02,2023-01-21,
96,Williams-Ramsey,Joel Guzman,zwilliamson@example.com,001-458-354-0091x497,Medical physicist,2229,Technology,Partner,19.0,,7,Disqualified,2023-04-28,2024-10-22,
97,"Owens, Malone and Knight",Zachary Nelson,tcole@example.net,799-904-2610x66460,"Producer, television/film/video",3024,Retail,Email Campaign,4.0,17.0,8,Disqualified,2024-05-26,2023-12-07,
98,"Green, Ray and Wallace",Bryan Park,sandrastone@example.com,7536573916,Interpreter,9055,Healthcare,Cold Call,2.0,8.0,27,Contacted,2023-08-06,2024-11-14,
99,"Bradford, Bishop and Armstrong",Andrea Medina,martindouglas@example.org,485.990.8211x8370,Freight forwarder,6849,Education,Referral,,22.0,47,Disqualified,2023-10-17,2024-06-21,
100,"Green, Glass and Miller",Mr. Robert Hoover,michelleberg@example.net,201.541.2743,"Education officer, community",1364,Finance,Website,15.0,,54,Qualified,2024-04-26,2023-02-28,2023-06-13
101,"Buck, Herrera and Burke",Haley Bush,martinwilliam@example.net,+1-976-280-9257x9186,"Development worker, international aid",796,Retail,Website,13.0,2.0,35,New,2024-10-14,2023-12-06,
102,"Spencer, Thomas and Jacobson",April Johnson,stephaniewatkins@example.com,(433)872-9362x723,Politician's assistant,4912,Education,Referral,7.0,46.0,14,New,2023-10-11,2024-04-20,2024-03-23
103,"Johnson, Villegas and Heath",Lisa Crane,timothybradley@example.org,656.598.1320,Chief of Staff,3143,Manufacturing,Partner,7.0,29.0,2,New,2024-08-30,2024-04-29,
104,White LLC,Makayla Murphy,kevin30@example.net,+1-886-646-9547x0929,Engineering geologist,4355,Technology,Partner,4.0,45.0,96,Contacted,2023-08-04,2023-11-07,2023-06-06
105,Martin Group,Ryan Carter,iking@example.com,530.776.5465x64655,Veterinary surgeon,4795,Manufacturing,Social Media,14.0,35.0,75,Contacted,2024-09-09,2023-11-29,
106,"Henderson, Faulkner and Ware",James Smith,ashley26@example.com,704.551.7938,Publishing copy,1381,Retail,Social Media,12.0,45.0,31,Disqualified,2024-04-10,2024-08-16,
107,"Solis, Cox and Franco",Aaron Nguyen,alexandragilbert@example.net,+1-452-769-5178x03076,Science writer,1552,Retail,Referral,13.0,41.0,12,Disqualified,2023-07-12,2023-07-01,2024-06-16
108,"Smith, Blackwell and Porter",Lisa Walker,ricardonorman@example.net,586.636.6494x019,"Restaurant manager, fast food",4217,Finance,Trade Show,8.0,48.0,69,Disqualified,2024-09-29,2023-11-23,
109,Moore Ltd,Albert Mitchell,wburns@example.org,595.405.9533,Manufacturing engineer,4095,Technology,Cold Call,8.0,22.0,94,Converted,2024-05-10,2024-10-09,
110,"Keith, Smith and Gould",Dr. Robert Lee,jwilson@example.com,(572)456-8185x3118,Recruitment consultant,4799,Finance,Cold Call,19.0,28.0,36,New,2024-11-24,2024-10-03,2024-12-24
111,"Erickson, Green and Salazar",Samuel Wilson,phyllis11@example.net,551-328-8161x335,Warehouse manager,4703,Retail,Trade Show,3.0,8.0,85,Disqualified,2023-09-24,2023-03-22,2023-06-21
112,Lewis Ltd,Leroy Espinoza,jessicacastillo@example.com,+1-744-467-9072x757,Network engineer,2648,Education,Cold Call,8.0,48.0,63,Qualified,2023-06-20,2024-11-15,
113,"Smith, Campbell and Delgado",Joshua Norton,briansingh@example.com,9969472957,Financial adviser,671,Education,Social Media,,,58,Contacted,2024-04-30,2024-12-07,
114,"Brown, Wilson and Ramos",James Webb,cassandrabell@example.org,(765)479-4955x9105,"Teacher, special educational needs",9504,Education,Social Media,,2.0,79,New,2024-08-07,2024-06-27,2023-06-06
115,Shah-Ball,Kevin Miller MD,voliver@example.net,622.441.8395,Fast food restaurant manager,1965,Finance,Referral,,23.0,53,Contacted,2024-02-18,2024-03-31,2023-01-11
116,Walters-Hanson,Brian Davenport,jbryan@example.org,(295)613-3077x268,Immigration officer,7904,Finance,Referral,,33.0,7,Contacted,2023-04-17,2023-09-15,
117,Howard-Thompson,Vincent George,hfleming@example.com,+1-931-346-7620,Adult guidance worker,2536,Finance,Partner,,27.0,97,Converted,2024-07-26,2023-11-01,2024-08-29
118,Phillips-Hill,Nicole Evans,danielhughes@example.net,(794)347-8262,Proofreader,7696,Education,Social Media,15.0,8.0,67,Disqualified,2023-04-08,2023-10-04,
119,"Hernandez, Anderson and Daniel",David Steele,travisfranco@example.net,741-992-5645x51467,Midwife,720,Finance,Social Media,1.0,,74,New,2024-06-21,2023-11-18,2024-04-07
120,"Robinson, Thompson and Cooper",Heather Hardy,andrea53@example.net,5102906553,Careers information officer,1998,Manufacturing,Cold Call,5.0,,45,New,2024-12-01,2024-01-08,
121,Strickland LLC,Mr. Paul Sharp MD,burnsmiguel@example.org,001-424-910-9506x009,Film/video editor,9487,Healthcare,Website,,41.0,3,Disqualified,2024-05-27,2023-12-09,
122,"Wallace, Nunez and Delacruz",Jason Davis,laurie42@example.com,944-951-9399x5415,"Scientist, forensic",3720,Technology,Cold Call,18.0,,55,New,2023-09-12,2023-08-24,
123,Freeman and Sons,Dr. Victoria Lopez MD,mark92@example.org,001-689-493-5214,"Geneticist, molecular",2870,Retail,Partner,1.0,10.0,38,Converted,2023-02-18,2024-07-29,
124,Ross-Miranda,Kimberly Williams,harry50@example.com,(888)770-5734,Heritage manager,7336,Finance,Email Campaign,,9.0,78,New,2024-11-03,2023-08-16,2023-04-05
125,Davis Inc,Nichole Smith,pzamora@example.org,001-313-222-4136,Dentist,1554,Finance,Trade Show,,15.0,22,Disqualified,2024-01-15,2023-09-08,
126,Sheppard Inc,Kevin May,omoore@example.org,374-887-1315,Building surveyor,4833,Healthcare,Website,11.0,2.0,95,New,2024-03-07,2023-03-15,
127,Porter LLC,Melissa Larson PhD,wadetyler@example.com,556.200.4308x78610,Operational investment banker,357,Manufacturing,Cold Call,17.0,50.0,39,Disqualified,2024-03-06,2024-04-15,2024-01-06
128,"Allen, Bolton and Delacruz",Brandon Nichols,eric64@example.com,(287)300-7269x052,Water engineer,1983,Healthcare,Website,16.0,45.0,76,Qualified,2023-07-06,2023-01-26,2023-12-28
129,Henderson-Miller,Tammie Lopez,robertsonveronica@example.net,+1-366-941-8080x692,Regulatory affairs officer,2412,Education,Social Media,12.0,,93,New,2023-05-25,2024-09-27,
130,Goodman-Hopkins,Linda Taylor,amber86@example.com,001-984-530-5627x982,"Investment banker, operational",3871,Education,Referral,9.0,40.0,24,New,2023-07-25,2023-01-17,2023-07-02
131,Wilcox Group,Dennis Hernandez,deborah57@example.net,333.414.8774x2865,Youth worker,8690,Healthcare,Partner,,48.0,35,Converted,2024-02-14,2023-06-07,
132,Graves-Stewart,Jennifer Wilson,moraleslauren@example.net,+1-663-761-3270x1892,Restaurant manager,9928,Retail,Email Campaign,,23.0,96,Disqualified,2024-05-29,2023-04-17,
133,Gardner and Sons,Gary Baker,davisjennifer@example.org,462.488.8548x8630,Water quality scientist,6235,Finance,Trade Show,4.0,30.0,33,Disqualified,2023-07-23,2024-03-09,
134,"Torres, Walter and Rivera",Linda Wood,amandarodriguez@example.net,(407)862-0395,Brewing technologist,8817,Retail,Partner,12.0,,3,Converted,2023-07-13,2023-07-25,2024-07-29
135,Garrett-Shaw,Jay Ramos,justin86@example.org,537.814.1385,Heritage manager,6121,Healthcare,Cold Call,2.0,27.0,41,Qualified,2023-09-12,2023-08-28,
136,Rogers-Brewer,Edwin Savage,james35@example.com,+1-334-518-6354x945,Public affairs consultant,4238,Manufacturing,Cold Call,6.0,13.0,39,Contacted,2024-12-17,2024-08-15,2024-02-11
137,Jordan-Schultz,Luke Alexander,stacey08@example.net,822.872.9740x40006,Emergency planning/management officer,7548,Education,Social Media,4.0,24.0,67,Converted,2023-10-30,2023-05-22,2024-03-17
138,Fritz-Huber,Danielle Dyer,stephen57@example.com,001-780-299-8142x9975,Purchasing manager,5514,Healthcare,Trade Show,16.0,17.0,52,New,2023-05-01,2023-11-07,
139,Martin-Schneider,Susan Gray,jordan83@example.org,8746275144,Systems analyst,1064,Retail,Website,11.0,6.0,74,Qualified,2023-07-25,2023-09-20,2023-11-26
140,Blake PLC,Louis Larsen,zunigamatthew@example.net,001-435-987-9445,"Engineer, land",1875,Healthcare,Partner,12.0,32.0,26,Qualified,2024-10-06,2024-08-07,2024-04-17
141,"Martin, Young and Smith",Adrienne Nichols,donaldherrera@example.com,+1-373-664-6776x3025,Radiation protection practitioner,3985,Retail,Partner,2.0,43.0,13,Contacted,2023-08-24,2024-12-07,
142,Kane-Massey,Shelley Abbott,martinezedward@example.com,001-879-216-1329x03634,Photographer,6157,Manufacturing,Email Campaign,2.0,,51,New,2023-10-15,2024-11-07,2024-04-15
143,"Osborn, Blanchard and Smith",Mrs. Tiffany Brandt,kendraterry@example.org,339.693.5340,Academic librarian,8687,Manufacturing,Trade Show,9.0,39.0,46,Contacted,2024-11-02,2024-10-30,
144,"Reed, Salas and Galvan",Matthew Bell,brandon71@example.com,001-891-320-9796x484,Lobbyist,1336,Healthcare,Partner,13.0,7.0,68,Disqualified,2023-03-24,2023-04-20,
145,"Maynard, Cardenas and Brown",Joseph Wang,scott27@example.com,266-385-7397x4418,Physiological scientist,8139,Retail,Trade Show,,32.0,14,Qualified,2023-12-26,2023-03-11,2023-04-10
146,Ritter-Fernandez,Michelle Rubio,cjames@example.com,(436)999-7700x24917,Sport and exercise psychologist,8362,Technology,Cold Call,2.0,18.0,72,Qualified,2024-08-22,2023-04-28,
147,"Ellis, Jackson and Smith",Aaron King,walkerkyle@example.net,473.346.3587,Heritage manager,536,Manufacturing,Trade Show,7.0,,33,New,2024-06-25,2023-10-17,
148,Watkins-Perry,Pamela Johnson,mary77@example.net,362.875.1251,Animator,7287,Education,Trade Show,19.0,3.0,57,Qualified,2023-09-14,2023-04-05,2024-10-11
149,"Pham, Miller and Kim",Michelle Kent,paulhunter@example.org,+1-801-470-5904x03205,Careers adviser,5218,Technology,Website,13.0,,67,Contacted,2024-10-13,2023-08-18,
150,Nguyen LLC,James Lopez,jesus65@example.net,438-886-5224,"Teacher, music",54,Manufacturing,Cold Call,13.0,45.0,21,Disqualified,2024-12-29,2023-07-13,2024-04-25
151,"Rose, Robinson and Jones",Benjamin Wilson,cassie27@example.org,(835)241-0845x563,Furniture conservator/restorer,2119,Finance,Trade Show,,17.0,77,Converted,2024-05-01,2023-06-02,
