customer_id,company_name,contact_name,email,phone,industry,company_size,segment_id,customer_tier,signup_date,last_interaction,country,state,city,annual_revenue,decision_makers
78,"Carpenter, Lynn and Howard",Cynthia Mitchell,mcculloughlouis@example.com,594-892-9955x62053,Finance,5899,2,Gold,2024-10-02,2023-12-04,Guinea-Bissau,Wyoming,Tonyville,3048933,10
79,Wilkinson and Sons,Christina Gross,lunapatricia@example.net,+1-409-796-9308x4887,Education,3668,5,Gold,2023-04-08,2024-01-01,Bermuda,Montana,Waynebury,2882393,9
80,Griffin and Sons,Krystal Brennan,jillwebb@example.com,5377314530,Education,7705,4,Bronze,2023-01-30,2024-04-18,Bosnia and Herzegovina,Virginia,Maryview,9807824,9
81,"Thompson, Valdez and Diaz",Sara Black,okaufman@example.net,(655)577-9082x7231,Healthcare,3072,2,Gold,2024-03-15,2024-08-19,Panama,Iowa,Shepherdville,8178508,8
82,Clark-Martin,Alison Williams,dennishunt@example.net,(202)642-8699,Technology,3558,4,Platinum,2024-09-25,2023-05-05,Switzerland,Nebraska,Port Brandi,3151509,10
83,"Dixon, Jackson and Jennings",Linda Jones,gcruz@example.org,288.362.9127,Technology,7911,6,Silver,2024-10-20,2024-01-29,Afghanistan,Wyoming,Boydstad,828773,9
84,Perez-Lang,Jane Chapman,colemanjonathan@example.org,349-286-4300,Education,3375,6,Gold,2023-10-26,2023-03-19,Japan,Tennessee,Joseside,7206183,10
85,Carr-Braun,Dalton Arnold,jwhite@example.net,844.795.6213x7213,Government,9030,5,Bronze,2023-04-28,2024-12-05,Albania,Colorado,South Sara,7404421,2
86,Baker LLC,Andrew Cruz,hmendez@example.com,001-590-427-7038x430,Manufacturing,600,3,Silver,2024-04-23,2024-12-13,Benin,Louisiana,Gomezfurt,6902338,10
87,Holmes Ltd,Tamara Dunn,michael43@example.net,376.390.4268,Retail,4831,3,Bronze,2024-08-09,2024-11-29,Turkey,Ohio,Heatherfurt,9548401,8
88,Todd Group,Stephanie Atkins,ewilson@example.com,+1-833-756-5880x4341,Technology,9095,2,Platinum,2023-08-18,2023-06-09,Montserrat,Louisiana,Lake Felicia,3290481,8
89,"Gonzalez, Moss and Salas",Dale Wright,eric11@example.org,+1-479-608-0759x57947,Education,3648,5,Silver,2023-02-09,2024-08-06,Lesotho,Ohio,New Michaelburgh,7770476,2
90,"Holmes, Stewart and Smith",Jamie Garcia,chloe42@example.net,734-779-5527x636,Government,6573,3,Platinum,2023-05-12,2023-04-06,Morocco,Utah,Port Cory,4628994,4
91,"Reynolds, James and Thomas",Brittany Shaffer,roberttaylor@example.net,685.974.4890x61203,Government,1587,4,Gold,2023-07-09,2023-09-21,Moldova,Kentucky,Andrewville,5990320,10
92,Ray Ltd,Carrie Deleon,mark87@example.net,816.394.7225x699,Technology,2664,3,Silver,2023-08-17,2024-04-21,Russian Federation,Louisiana,Nelsonmouth,6192894,10
93,"Sheppard, Gutierrez and White",Nicholas Stanley,clarkrandy@example.org,678-400-6811,Technology,6397,3,Silver,2023-06-30,2023-07-27,Niue,Florida,New Mary,579346,1
94,"Kelly, Herman and Lin",Seth Donovan,staylor@example.net,(799)979-6884,Retail,3731,1,Platinum,2023-08-13,2023-10-28,Cape Verde,Maryland,North Alexandraberg,5869431,5
95,Nichols-Watts,Pedro Evans DDS,carla08@example.com,568.666.3266,Technology,6927,6,Silver,2024-01-13,2024-08-06,New Zealand,Vermont,Justinside,4610085,7
96,Castaneda and Sons,Brian Gibson,nnelson@example.com,650.620.8021,Healthcare,7193,6,Bronze,2023-06-19,2023-04-20,Lithuania,Indiana,Robertfort,6331009,8
97,"Moody, Rivera and Bridges",Amy Rowe,danielshunter@example.com,(901)836-7303x7183,Manufacturing,5123,3,Silver,2024-04-04,2023-01-31,Vietnam,Oklahoma,West Timothyport,3434029,6
98,Boyer and Sons,Cynthia Hamilton,jacksonjoshua@example.org,(330)709-7925x1327,Government,993,1,Gold,2024-04-15,2024-05-26,Somalia,Connecticut,South Jesse,9467565,6
99,Quinn-Smith,Nathaniel King,washingtonsamuel@example.com,+1-673-492-8557,Technology,8712,2,Platinum,2023-08-04,2023-07-12,Haiti,New Jersey,Port Danafurt,3212748,1
100,"Vincent, Parsons and Allen",Mary Ryan,rlee@example.com,001-482-294-5651x18102,Healthcare,1763,4,Silver,2023-03-14,2024-02-21,Taiwan,Missouri,Foxshire,4393936,1
101,Walker-Robbins,Thomas Rios,mcdonalddanielle@example.com,+1-665-309-4801,Healthcare,8521,1,Bronze,2024-06-13,2024-01-24,Comoros,Illinois,New Colleen,3101408,9
102,"Grant, Reese and Miranda",Megan Park,kandrade@example.org,+1-768-752-8975,Government,6100,4,Platinum,2024-08-26,2023-08-25,Dominican Republic,Oregon,South Katie,4362908,6
103,West-Sanders,Victoria Larson,victoriaturner@example.com,435.304.8889,Technology,7552,3,Silver,2023-04-12,2023-09-25,Myanmar,Kansas,West Lisa,1641912,10
104,Carroll-Robinson,Frederick Olson,spetersen@example.net,001-719-740-9610,Government,7125,4,Bronze,2024-09-26,2023-06-15,Palau,Rhode Island,Lake Kimberlyfurt,1008116,5
105,"Williams, Fernandez and Hernandez",Connie Williams,wmaddox@example.net,001-781-336-4622,Education,9372,6,Bronze,2024-02-05,2023-07-11,Iran,North Carolina,Ayalaberg,2362755,8
106,"Gonzalez, Foster and Duncan",Yolanda Warren,charlesfrank@example.com,+1-491-716-6553x55904,Retail,7255,5,Silver,2023-11-18,2024-11-05,Djibouti,Illinois,Ericland,1985284,1
107,Rush and Sons,Samantha Smith,torresthomas@example.com,483.238.8487,Education,9561,6,Bronze,2023-07-06,2023-02-13,Cook Islands,Vermont,Briantown,1217325,7
108,"Nelson, Christian and Keller",Alicia Dillon,yhall@example.net,001-215-279-8123x878,Healthcare,8683,3,Gold,2023-12-24,2024-06-27,Andorra,Minnesota,Michaelport,4062858,9
109,Cain-Garrett,Stefanie Briggs,raymondstacy@example.org,(856)521-6893,Retail,2512,4,Gold,2024-10-26,2023-08-29,Mauritius,Florida,Lake Dillon,9182410,4
110,Parker Ltd,Susan Jordan,dianacunningham@example.org,618-481-2520x56647,Government,3089,1,Silver,2023-05-15,2024-07-10,New Zealand,South Carolina,Catherinebury,3995376,4
111,"Johnson, Miller and Chan",Ryan Harrison,jack67@example.com,(523)530-6046,Government,3361,1,Silver,2024-11-07,2024-12-20,Tonga,South Carolina,Wattsmouth,4240345,7
112,Parsons-Franklin,Michelle Long,meyershannon@example.org,588.660.8680,Education,6531,3,Gold,2023-12-03,2023-11-05,New Zealand,Arkansas,South Maria,7678236,2
113,"Mason, White and Richards",Kimberly Long,shannon27@example.net,001-337-814-5211x175,Manufacturing,8393,5,Silver,2023-10-04,2023-10-05,Seychelles,Hawaii,Arianaberg,2819990,3
114,Hammond Inc,Eric Mack,lroberts@example.org,(230)994-0777,Healthcare,3563,5,Platinum,2023-11-28,2023-11-19,Netherlands Antilles,Rhode Island,East Nicoleview,9454114,4
115,Lopez Inc,Amanda Nash,mark10@example.org,(622)749-9982x79501,Finance,6218,1,Platinum,2024-09-07,2023-02-17,Latvia,Florida,Lake Michelemouth,8942477,7
116,"Clark, Clark and Brown",Veronica Rice,webbhaley@example.net,969-954-8995x2997,Government,2957,5,Silver,2024-06-01,2024-12-15,Afghanistan,Delaware,South Colleenville,3578434,10
117,Gutierrez-Cook,Marcia Smith,hannahking@example.org,448-585-0155x6990,Finance,5546,6,Platinum,2024-10-30,2024-08-04,Oman,Florida,Mooremouth,9108820,6
118,Bowers-Gutierrez,Sandy Evans,angela03@example.net,+1-455-312-4056x82996,Government,5060,6,Gold,2024-06-02,2023-07-18,Benin,New York,West Shannon,5177267,4
119,"Turner, Rodriguez and Glover",Susan Wallace,lloydrebecca@example.org,457.584.5218,Manufacturing,608,4,Platinum,2024-06-04,2024-01-17,Albania,Maryland,Lake Melanieland,5691674,8
120,Garcia Ltd,Alison Blake,manuellee@example.com,+1-257-314-2241,Healthcare,8898,3,Gold,2023-07-17,2024-11-19,Spain,Maine,East Charles,5783095,9
121,Williams-Johnson,Amber Reyes,simmonsharold@example.net,001-979-454-5381,Technology,7682,1,Platinum,2023-08-15,2024-04-15,Seychelles,New Jersey,Hallbury,2511249,10
122,Durham-Myers,Mary Mccormick,shawn01@example.com,457-372-4599,Education,1762,3,Bronze,2024-08-01,2024-01-24,Iran,Pennsylvania,Allenbury,9293059,3
123,Reyes-Peterson,Leslie Mueller,vbradley@example.net,001-332-919-7199x758,Healthcare,5056,4,Bronze,2024-03-12,2024-05-15,Nepal,Wyoming,Murphyton,1618891,4
124,Clay Ltd,Nicole Guerrero,yschmidt@example.net,001-773-335-4946,Retail,143,5,Platinum,2024-09-10,2024-09-14,Bahamas,Mississippi,North Jacquelinestad,1940432,5
125,Young Ltd,Lori Joseph,ijames@example.org,+1-327-223-8656x24220,Healthcare,7984,6,Platinum,2024-12-12,2023-04-10,Burundi,Tennessee,Daltonchester,3116499,8
126,"Coleman, Wilkins and Cruz",Jeff Smith,pbradford@example.net,346.489.5009x75197,Manufacturing,8634,3,Platinum,2024-01-13,2024-01-18,New Zealand,Colorado,South Crystal,1409997,9
127,"Edwards, Brown and Cooper",Julie Hunt,vberry@example.com,(444)220-9494x079,Manufacturing,4790,6,Bronze,2023-07-29,2023-03-02,Madagascar,California,Johnathanview,4717376,5
128,Figueroa PLC,Kevin Hernandez,lwood@example.com,001-837-828-0512x927,Healthcare,7221,6,Silver,2023-06-03,2024-06-20,Guatemala,Arkansas,Karlaville,981193,3
129,Ross-Turner,Nicole Patel,yvega@example.com,728-860-4765x801,Retail,4476,3,Gold,2023-07-14,2023-03-13,Palau,Pennsylvania,Murraybury,9977154,4
130,"Rogers, Vaughn and White",Megan Decker,jenkinsalicia@example.net,553.344.3009x109,Manufacturing,1975,1,Silver,2023-10-02,2024-07-11,Oman,Oregon,North Heather,4350268,5
131,Guerrero-Jones,Zachary Hammond,jonathan14@example.org,(465)904-4271x7396,Technology,2367,5,Platinum,2023-06-09,2024-04-14,United States Minor Outlying Islands,New Hampshire,Dakotaland,1281322,10
132,"King, Griffin and Mosley",Martin Fitzpatrick,sadams@example.com,(990)387-7661x8306,Retail,8780,3,Gold,2024-05-12,2023-10-20,Norfolk Island,Tennessee,West Amandamouth,1449840,8
133,Holland-Thompson,James Lee,omosley@example.net,(871)373-2030x937,Government,8866,6,Gold,2023-12-31,2024-12-05,Sudan,New Hampshire,North Matthewmouth,818308,7
134,Lewis Ltd,Judy Gregory,joycehall@example.org,2274079032,Manufacturing,828,3,Bronze,2023-11-30,2023-05-05,Nauru,California,North Tylerbury,1158811,4
135,Rogers-Huff,Jennifer Martinez,marcoconnell@example.org,001-909-525-1142x62582,Retail,676,2,Bronze,2024-07-31,2024-04-06,Honduras,Wyoming,North Nichole,1454300,1
136,White Inc,Linda Campbell,nschwartz@example.org,+1-348-676-3290x9279,Finance,6871,1,Silver,2023-05-21,2024-12-21,Bhutan,South Carolina,Michelleside,8615120,4
137,Townsend-Hopkins,Cory Hogan,kjimenez@example.net,9052436459,Technology,869,5,Silver,2023-04-26,2023-01-22,Malaysia,Delaware,East Jennifershire,9826788,6
138,Gonzalez-Rhodes,Richard Nguyen,youngrobert@example.org,(831)779-7062x3972,Healthcare,7509,6,Silver,2024-04-06,2024-12-13,Cook Islands,Michigan,North Heather,1100789,5
139,Rodriguez Group,Christopher Cooper,cassandra92@example.net,+1-931-668-7397,Technology,7024,6,Silver,2023-06-30,2023-11-14,Cyprus,Pennsylvania,New Rachel,7109048,1
140,Esparza Ltd,Amanda Schmidt,spacheco@example.org,373.218.0632x543,Education,5004,2,Platinum,2024-09-18,2024-06-29,Anguilla,New Jersey,Ingramfurt,3202874,6
141,"Marshall, Schultz and Dalton",Steven Cook,phillipskaren@example.net,+1-889-731-9508x501,Education,679,3,Gold,2023-05-08,2024-02-12,Bangladesh,Oklahoma,East Tina,4103592,9
142,Banks Ltd,Lauren Haley,karenhodges@example.com,(348)964-0155x778,Manufacturing,8724,6,Gold,2023-11-26,2023-09-26,Peru,Vermont,East Patriciamouth,1564797,2
143,Hurst-Roberts,Ashley Hill,tylergolden@example.net,+1-304-268-2756x7043,Government,3816,5,Gold,2023-10-28,2023-09-08,Oman,Massachusetts,Watkinshaven,9301778,8
144,Torres-Anderson,Carolyn Green,swatson@example.org,(454)472-9284,Government,2524,2,Silver,2023-03-27,2024-12-26,Morocco,Florida,Greenburgh,3541935,9
145,"Johnson, Stewart and Cooper",Joshua Martin,david06@example.com,001-927-752-0885x47492,Manufacturing,1850,6,Platinum,2024-10-19,2023-04-12,Micronesia,Delaware,Angelbury,7582180,6
146,Nguyen PLC,Lauren Walker,james18@example.com,+1-818-763-7599x80562,Education,6118,1,Gold,2023-09-09,2023-08-13,Kiribati,Oklahoma,East Jessicamouth,7072774,8
147,Martin-Luna,Monica Perry,thomaskevin@example.net,519-461-0646x28792,Government,6264,3,Platinum,2023-01-31,2024-08-26,Syrian Arab Republic,Pennsylvania,Troymouth,3866824,1
148,Moore LLC,Sandra Kennedy,robert73@example.org,847-619-5979,Manufacturing,7809,6,Bronze,2023-09-30,2024-06-19,Andorra,Kentucky,New Brian,5463359,8
149,"Taylor, Martin and Nelson",Thomas Kelly,kelly18@example.org,001-721-492-8554x45189,Technology,2253,5,Gold,2023-09-30,2023-12-20,Guam,Hawaii,East Ericbury,3261109,9
