lead_id,campaign_id,audience_id,first_name,last_name,email,phone,company,job_title,industry,company_size,lead_source,lead_score,status,created_date,last_activity,converted_date,country,state,city,utm_source,utm_medium,utm_campaign
36,43,6,Michael,Hernandez,xwood@example.org,855-847-8137x6742,Houston PLC,Chartered legal executive (England and Wales),Healthcare,3405,Social Media,39,Converted,2024-03-30,2024-05-18,,Bahrain,Pennsylvania,Davischester,social_media,paid,seo_campaign_43
37,27,1,Gregory,Murray,jamescollier@example.com,+1-570-249-4787,Moore LLC,Public house manager,Technology,4714,SEO,54,Qualified,2024-05-05,2024-09-09,,Antarctica (the territory South of 60 deg S),Delaware,Trevorland,seo,referral,webinars_campaign_27
38,48,7,Michael,Castillo,ooneill@example.net,415.789.0429x0257,Brown LLC,Personnel officer,Manufacturing,5833,Social Media,7,Contacted,2023-10-14,2024-06-11,2024-04-01,Seychelles,South Dakota,Port Cody,social_media,social,seo_campaign_48
39,35,3,Marcus,Stewart,joseph51@example.net,001-852-702-8457,Garcia and Sons,Retail manager,Healthcare,3088,Events,72,Disqualified,2024-09-27,2024-12-25,,Rwanda,Oklahoma,South Stevenland,events,email,webinars_campaign_35
40,9,5,Sandra,Mendoza,hannah27@example.net,352.840.1322x34232,"Hines, Rodriguez and Smith",Radio broadcast assistant,Government,7066,Webinars,6,Qualified,2023-12-04,2024-10-06,,Nauru,Arkansas,Wilsonview,webinars,email,content_marketing_campaign_9
41,5,5,Kevin,Smith,pattonsamantha@example.org,001-732-750-1249,Wyatt Ltd,Video editor,Healthcare,8273,Influencer,73,New,2024-05-20,2024-09-20,2024-09-08,Saint Barthelemy,Illinois,Georgeside,influencer,email,social_media_campaign_5
42,47,4,Corey,Lewis,lrichardson@example.org,312.956.6383x615,Stone Group,Media planner,Manufacturing,4724,Influencer,72,Nurturing,2023-06-26,2023-12-14,2024-01-15,Korea,Rhode Island,Gloriamouth,influencer,social,content_marketing_campaign_47
43,36,3,Richard,Mercer,elopez@example.com,+1-352-407-1678x11266,Cox and Sons,Lexicographer,Healthcare,9748,Direct Mail,52,New,2024-06-26,2024-08-24,,Fiji,Wisconsin,Katelynfurt,direct_mail,paid,social_media_campaign_36
44,31,3,Elizabeth,Clements,jdixon@example.com,214-377-3201,Gregory-Stanton,Museum/gallery exhibitions officer,Retail,5357,Paid Search,20,Contacted,2024-01-12,2023-12-28,2024-08-14,Mali,Wyoming,Sparksborough,paid_search,paid,events_campaign_31
45,43,6,Tyler,Wagner,lisa88@example.org,001-606-416-7567x70028,Jordan-Edwards,Neurosurgeon,Education,1793,Social Media,73,Nurturing,2023-12-20,2024-06-01,,Montserrat,New Mexico,Hartburgh,social_media,referral,seo_campaign_43
46,4,7,Peter,Simpson,wjensen@example.com,700-790-2559x05616,Bell-Stanley,Firefighter,Healthcare,5114,Email,76,New,2024-11-12,2024-09-27,,Brazil,Michigan,North Amanda,email,email,social_media_campaign_4
47,30,3,Diane,Henderson,sadams@example.com,001-905-369-6591,"Leonard, Rogers and Shaw","Librarian, academic",Healthcare,4908,Influencer,47,Converted,2024-05-18,2024-10-02,2024-11-21,Mauritania,Indiana,Josephport,influencer,referral,paid_search_campaign_30
48,26,7,Linda,Weber,robbinsbelinda@example.net,741-598-7635x14846,Morales-Weber,Professor Emeritus,Manufacturing,8972,SEO,24,New,2024-03-28,2024-03-31,2024-05-04,Croatia,Texas,Adamsside,seo,referral,events_campaign_26
49,50,4,Rebecca,Michael,boydmichael@example.org,624.666.5136,"Martin, Mcdaniel and Young",Field trials officer,Technology,2457,Influencer,25,New,2024-10-06,2024-12-14,,Libyan Arab Jamahiriya,Oklahoma,Hendersonton,influencer,social,email_campaign_50
50,11,2,Joseph,Johnson,donna20@example.net,500.315.9416x5162,"Navarro, Fitzpatrick and Boyd",Telecommunications researcher,Government,8606,Events,33,Converted,2024-11-04,2024-08-19,2024-11-21,Germany,Michigan,Shafferbury,events,organic,paid_search_campaign_11
51,14,3,Drew,Thompson,scott49@example.org,785.615.8673x4257,Brewer PLC,Animal nutritionist,Government,896,Social Media,89,Nurturing,2024-01-18,2024-07-11,,Northern Mariana Islands,Vermont,Rebeccaville,social_media,referral,social_media_campaign_14
52,16,4,Mia,Price,qpennington@example.com,634-332-7560,Ruiz-Gutierrez,Learning mentor,Manufacturing,6921,Paid Search,13,Qualified,2024-11-22,2024-11-01,,Italy,Rhode Island,Shawntown,paid_search,email,display_campaign_16
53,42,1,Darlene,Mccoy,aarongonzalez@example.com,691-412-3829x65772,"Watkins, Murphy and Campbell",Chartered accountant,Education,6023,Direct Mail,24,Converted,2024-10-28,2024-12-13,,Czech Republic,Alaska,New Deborahbury,direct_mail,email,direct_mail_campaign_42
54,30,3,James,Haynes,brandonwilliamson@example.net,321-552-9108x677,"Harris, Shah and Li",Geographical information systems officer,Finance,8097,Influencer,49,Qualified,2024-06-08,2024-06-19,,Swaziland,Maine,South Henry,influencer,social,paid_search_campaign_30
55,2,4,Kelly,Green,xsolomon@example.net,+1-371-207-2563x66941,Cook and Sons,Public affairs consultant,Finance,9935,Direct Mail,86,Disqualified,2024-07-25,2024-10-30,2024-05-05,Niger,Missouri,Tiffanystad,direct_mail,social,webinars_campaign_2
56,36,3,Blake,White,williamconrad@example.com,(215)486-2415,Savage-Davenport,Media planner,Education,4636,Direct Mail,34,Disqualified,2024-09-29,2024-12-14,,Germany,Nevada,West Jillian,direct_mail,organic,social_media_campaign_36
57,49,2,Stephanie,Peters,jbrown@example.org,920.274.2761,Kelly-Fletcher,Radio producer,Education,8078,Display,15,Nurturing,2024-12-26,2024-12-17,2024-12-19,Finland,Idaho,Lake William,display,paid,content_marketing_campaign_49
58,37,3,Patricia,Willis,foxashley@example.com,737-315-0416,Hernandez-Miller,Quantity surveyor,Education,4413,Events,77,Nurturing,2024-09-17,2024-12-27,,Nigeria,New Hampshire,Staceyshire,events,social,direct_mail_campaign_37
59,14,3,Michelle,Solis,marcus01@example.net,+1-861-864-2361x032,Holland-Best,"Designer, exhibition/display",Technology,4892,Social Media,63,Converted,2024-04-04,2024-11-30,,Netherlands,Florida,Elizabethstad,social_media,referral,social_media_campaign_14
60,13,5,Tracy,Mcclure,madams@example.com,765-992-6610,"Walker, Parks and Moore",Research scientist (life sciences),Retail,8597,SEO,11,Contacted,2024-05-03,2024-04-26,,French Southern Territories,Georgia,Lake Rebecca,seo,social,email_campaign_13
61,34,7,Ronald,Carroll,lowerywilliam@example.net,(461)479-4549x18017,Williams-Butler,Human resources officer,Finance,9621,Events,93,Converted,2024-06-15,2024-06-25,,Guam,Idaho,East Christian,events,referral,seo_campaign_34
62,17,2,Monica,Rodriguez,smithdarryl@example.org,+1-477-469-7499x5641,Lee Inc,Emergency planning/management officer,Government,440,Events,27,Converted,2024-03-19,2024-07-01,,Tajikistan,South Dakota,North Kevin,events,organic,webinars_campaign_17
63,10,7,Thomas,Johnson,rachelrodgers@example.com,370.879.3349x6050,Allison-Mclaughlin,"Therapist, occupational",Manufacturing,9082,Social Media,38,New,2023-04-26,2023-12-21,,Saint Kitts and Nevis,South Carolina,Hallton,social_media,referral,email_campaign_10
64,2,4,Robert,Stewart,adamsdeborah@example.com,579-957-6024,Kim-Romero,Theatre manager,Manufacturing,5557,Direct Mail,78,Nurturing,2024-07-13,2024-03-27,,Saint Kitts and Nevis,Virginia,Moyerstad,direct_mail,organic,webinars_campaign_2
65,11,2,Christy,Campbell,estradadavid@example.org,(297)216-7433,Ibarra-Kelly,"Designer, interior/spatial",Healthcare,8249,Events,5,New,2024-08-23,2024-07-28,,British Indian Ocean Territory (Chagos Archipelago),Oklahoma,South Jonathan,events,paid,paid_search_campaign_11
66,23,5,Kayla,Carrillo,paula89@example.net,207-371-1991,Soto and Sons,Medical illustrator,Healthcare,4787,Webinars,91,Converted,2024-12-17,2024-12-23,2024-12-18,Haiti,Michigan,North Melinda,webinars,organic,events_campaign_23
67,27,1,Kayla,Smith,gpeterson@example.org,545-465-3286,Gutierrez-Ortiz,Proofreader,Government,8457,SEO,88,Contacted,2024-08-23,2024-06-13,,Algeria,Virginia,North Matthewfurt,seo,social,webinars_campaign_27
68,28,1,Bryan,Malone,rachelbrown@example.net,001-484-866-8455x048,Schneider-Clay,Water engineer,Manufacturing,7245,Display,90,Contacted,2024-12-19,2024-12-28,,Singapore,Illinois,Christopherside,display,paid,influencer_campaign_28
69,25,2,Jessica,Singh,abigailfernandez@example.org,688-548-5200,Barber-Benitez,Clinical psychologist,Manufacturing,983,Direct Mail,48,Contacted,2024-11-22,2024-10-28,2024-12-06,Wallis and Futuna,Delaware,Evanstown,direct_mail,organic,paid_search_campaign_25
70,22,5,Tonya,Trujillo,michaelmitchell@example.net,001-526-783-1589,Garcia-Dawson,Paramedic,Technology,1512,Display,8,Converted,2024-04-28,2024-03-27,,Belarus,Mississippi,Chapmanhaven,display,organic,seo_campaign_22
71,17,2,Breanna,Fields,fbarker@example.net,(222)482-7728x81377,"Wood, Crane and Guzman",Osteopath,Technology,1981,Events,48,Disqualified,2023-11-10,2024-04-25,2024-02-06,Holy See (Vatican City State),Maryland,Toddberg,events,social,webinars_campaign_17
72,38,7,Robert,Zuniga,pamela32@example.net,701.885.1067x9497,Davenport-Bass,Consulting civil engineer,Government,2270,Direct Mail,65,Nurturing,2023-11-20,2024-05-18,,Canada,Washington,Christopherchester,direct_mail,organic,seo_campaign_38
73,15,2,Rachel,Morgan,rubiopamela@example.net,212-509-4818x139,Shaw-Smith,Ship broker,Healthcare,311,Paid Search,36,Qualified,2023-07-26,2024-07-22,,Kenya,Colorado,Richardton,paid_search,organic,events_campaign_15
74,2,4,Matthew,White,heathlogan@example.com,311-482-4224,Farley-Gregory,Barrister's clerk,Retail,5330,Direct Mail,24,New,2024-07-26,2024-05-19,2024-05-26,Isle of Man,Massachusetts,Nicholasville,direct_mail,email,webinars_campaign_2
75,13,5,John,Harper,trevorgoodwin@example.com,240-857-8617,"Hall, Mercado and Adams",Theatre director,Manufacturing,1664,SEO,32,Disqualified,2024-05-14,2024-05-08,,Ireland,New Hampshire,Port Cynthiaborough,seo,social,email_campaign_13
76,24,6,Amber,Jackson,amandahenderson@example.net,600.879.4200x749,Kirby-Lewis,"Sales professional, IT",Finance,746,SEO,21,Nurturing,2024-04-11,2023-09-18,2024-02-29,British Virgin Islands,Florida,Natalieborough,seo,referral,email_campaign_24
77,33,7,Susan,Flores,cynthia74@example.org,+1-455-837-9502x09700,"Woodard, Warner and Farmer",Solicitor,Technology,1271,Display,69,New,2024-07-31,2024-11-30,,Peru,Delaware,Teresafurt,display,referral,direct_mail_campaign_33
78,23,5,Paul,Combs,martinezmitchell@example.org,903.704.5319x433,Campbell Ltd,Trading standards officer,Healthcare,117,Webinars,26,Nurturing,2024-12-16,2024-12-29,,Macao,New York,New James,webinars,referral,events_campaign_23
79,44,7,Faith,Cunningham,chapmanjulie@example.org,293-884-3089x487,"Nunez, Santos and Nash",IT trainer,Education,6667,Influencer,36,New,2024-06-07,2024-05-24,,Maldives,Wisconsin,Lake Jeffreyview,influencer,organic,content_marketing_campaign_44
80,35,3,Shane,Smith,matthewbeard@example.org,001-836-213-3254x1107,"Robles, Mcconnell and Pittman",Firefighter,Technology,7760,Events,31,Contacted,2024-10-01,2024-12-10,,South Africa,Kansas,Port Carolmouth,events,email,webinars_campaign_35
81,41,7,Sean,Martinez,rangelnicholas@example.net,320-270-4961,"Williams, Horn and Morales",Waste management officer,Government,6736,Events,30,Disqualified,2024-08-18,2024-10-01,,Hungary,New Jersey,Hobbsville,events,paid,display_campaign_41
82,42,1,Sharon,Logan,lholmes@example.org,610-791-9392,Olson-Oliver,Electronics engineer,Healthcare,2256,Direct Mail,6,New,2024-03-31,2024-08-24,,Pakistan,Wisconsin,Larryside,direct_mail,social,direct_mail_campaign_42
83,10,7,Terrance,Morrison,miguel08@example.net,+1-520-938-8065x33315,"Holt, Mcdonald and Schwartz",Technical sales engineer,Retail,5500,Social Media,79,Contacted,2023-04-09,2023-04-29,,Turkey,Arizona,Robinsontown,social_media,social,email_campaign_10
84,45,1,Jerry,Hanson,timothytate@example.com,001-463-662-0501x5081,Lee-Willis,Media buyer,Technology,487,Direct Mail,26,Qualified,2023-09-08,2023-10-26,,Saint Helena,Idaho,Melaniebury,direct_mail,social,influencer_campaign_45
85,13,5,Andrew,Cameron,smitherica@example.com,+1-315-334-7355x2896,Andrade and Sons,Energy manager,Healthcare,8726,SEO,49,Nurturing,2024-04-27,2024-09-13,,Ecuador,Arizona,Port Amanda,seo,social,email_campaign_13
86,21,1,John,Soto,monique89@example.com,717.991.2868,"Marshall, Morris and Brooks",Radiation protection practitioner,Manufacturing,8107,Influencer,61,Contacted,2024-02-17,2024-05-22,,Pakistan,Arizona,East Patricia,influencer,organic,content_marketing_campaign_21
87,16,4,Randy,Torres,xduncan@example.com,+1-212-914-7853,"Oliver, Simmons and Mcdonald",Osteopath,Finance,8152,Paid Search,41,Contacted,2024-10-16,2024-09-23,,Estonia,Tennessee,West Rachelport,paid_search,referral,display_campaign_16
88,33,7,Amy,Miller,sara11@example.org,(408)635-3544x439,Carrillo LLC,Logistics and distribution manager,Government,6617,Display,52,Disqualified,2024-07-28,2024-07-17,,Malaysia,Wisconsin,Port Raymond,display,social,direct_mail_campaign_33
89,47,4,Kara,Wells,dsharp@example.com,253-766-3778,Ray and Sons,Industrial/product designer,Manufacturing,159,Influencer,64,Nurturing,2024-05-03,2023-12-21,,Jamaica,Utah,Farmerside,influencer,paid,content_marketing_campaign_47
90,21,1,Brenda,Bradley,weekseric@example.com,001-899-596-6361,Rodriguez-Hudson,Production engineer,Manufacturing,4992,Influencer,12,Qualified,2023-06-18,2024-03-31,2024-09-15,Netherlands,New York,East Jamesfurt,influencer,paid,content_marketing_campaign_21
91,14,3,Jesse,Keller,gibsonmiguel@example.org,(956)362-1286,Friedman-Glenn,"Conservator, furniture",Government,3370,Social Media,40,Converted,2024-04-17,2024-08-23,2024-07-31,Wallis and Futuna,Maryland,New Jennifer,social_media,organic,social_media_campaign_14
92,18,7,James,Ritter,zbrown@example.net,385.697.7790,"Ibarra, Bryant and Graves",Human resources officer,Education,2870,Webinars,54,Qualified,2024-11-07,2024-12-08,,Kuwait,Missouri,Lake Ashley,webinars,organic,email_campaign_18
93,45,1,Sonya,Allen,joshuafuller@example.com,+1-413-676-8151x18567,Hunter Group,Aid worker,Technology,7568,Direct Mail,49,Contacted,2024-01-04,2024-10-12,,Argentina,Alabama,Dannyberg,direct_mail,paid,influencer_campaign_45
94,43,6,Kaitlyn,Washington,millerdiane@example.net,827.442.2091x241,Powers Inc,Government social research officer,Healthcare,7220,Social Media,46,Qualified,2023-10-25,2023-09-27,,Martinique,Indiana,Hortonhaven,social_media,email,seo_campaign_43
95,25,2,Hannah,Wallace,williamsnicholas@example.org,753.531.0600,"Caldwell, Walker and Khan",Diplomatic Services operational officer,Manufacturing,2737,Direct Mail,6,Converted,2024-11-11,2024-12-12,,Monaco,South Dakota,New Jamie,direct_mail,referral,paid_search_campaign_25
96,26,7,Sheila,Martinez,danielmorris@example.org,(550)863-7314x9501,Saunders-Porter,"Civil engineer, consulting",Manufacturing,8785,SEO,73,Qualified,2023-10-06,2023-08-04,,Norfolk Island,Vermont,Gregoryberg,seo,paid,events_campaign_26
97,12,4,Cynthia,Henson,tiffany71@example.com,2995768389,Jensen Inc,Insurance broker,Healthcare,7021,Events,97,Qualified,2024-04-18,2023-11-14,,Luxembourg,Maine,East Nicholas,events,email,seo_campaign_12
98,16,4,Sandra,George,vstevenson@example.org,250-586-4035x533,"Horton, Walker and Salas","Scientist, research (life sciences)",Finance,3008,Paid Search,57,Nurturing,2024-09-02,2024-12-15,2024-12-25,Austria,South Dakota,East David,paid_search,social,display_campaign_16
99,38,7,Ana,Pope,joelmiller@example.net,942.533.6293x449,Huffman-Olson,Media buyer,Education,6189,Direct Mail,22,Converted,2023-11-19,2024-06-10,,Jersey,Wisconsin,Port Stephanie,direct_mail,organic,seo_campaign_38
100,2,4,Kathleen,Simmons,blakesandra@example.net,+1-628-824-6747,"Obrien, Jones and Taylor","Psychotherapist, child",Healthcare,2536,Direct Mail,25,New,2024-02-16,2024-07-23,,Holy See (Vatican City State),New York,Frostfurt,direct_mail,paid,webinars_campaign_2
101,25,2,Tracy,Davidson,ortizbenjamin@example.org,(592)536-4587x5066,Johnson-Li,Air broker,Manufacturing,2423,Direct Mail,34,Disqualified,2024-11-05,2024-11-29,,Egypt,Rhode Island,North Darryl,direct_mail,email,paid_search_campaign_25
102,42,1,Jennifer,Cruz,stonejacob@example.com,(864)348-8694,Fields LLC,Customer service manager,Finance,3433,Direct Mail,96,Converted,2024-09-08,2024-02-26,2024-11-04,Afghanistan,Connecticut,Port Heatherhaven,direct_mail,organic,direct_mail_campaign_42
103,42,1,Keith,Jordan,nicholaspadilla@example.org,828.917.9323x0234,"Durham, Rodriguez and Fields",Cartographer,Finance,1405,Direct Mail,49,New,2024-05-12,2024-06-10,,Dominica,New Mexico,Chambersville,direct_mail,email,direct_mail_campaign_42
104,4,7,Joseph,Moses,davisalexa@example.org,(598)747-7596x5555,"Ross, Bishop and Hester",Lawyer,Government,1642,Email,1,Converted,2024-11-10,2024-10-31,2024-09-23,British Virgin Islands,North Dakota,Stephaniebury,email,paid,social_media_campaign_4
105,29,6,Christine,Hopkins,qrobertson@example.org,9508505739,"Salazar, Miller and Patterson",Publishing copy,Manufacturing,1646,Influencer,94,Converted,2023-10-02,2023-12-22,2024-10-31,Turkey,Oregon,East Tylerland,influencer,paid,seo_campaign_29
106,44,7,Wendy,Archer,cjackson@example.org,683.533.2116x0256,"Scott, Alvarez and Merritt",Community pharmacist,Manufacturing,2225,Influencer,69,Nurturing,2024-06-20,2023-12-21,,Grenada,Iowa,Lake Matthewfurt,influencer,referral,content_marketing_campaign_44
107,28,1,Lindsey,Walker,carterdaniel@example.com,001-593-819-5256x9040,Flores-Diaz,Computer games developer,Retail,9857,Display,76,Qualified,2024-12-19,2024-12-19,,Germany,Georgia,Maryfort,display,organic,influencer_campaign_28
108,10,7,Carolyn,Thomas,georgekyle@example.net,749-473-7460,"Clark, Oconnor and Cochran",Associate Professor,Government,2934,Social Media,63,Nurturing,2023-04-03,2024-12-19,,United States Minor Outlying Islands,Hawaii,New Philipchester,social_media,organic,email_campaign_10
109,23,5,Katherine,Myers,justin38@example.com,425-990-4729,"Olson, Merritt and Clark","Engineer, building services",Manufacturing,150,Webinars,47,Nurturing,2024-12-17,2024-12-17,2024-12-21,Japan,Utah,North Cody,webinars,organic,events_campaign_23
110,12,4,Sierra,Wilson,brittney26@example.org,3139674926,"Reyes, Chen and Wallace","Administrator, arts",Technology,1911,Events,11,New,2024-03-10,2024-08-07,,Czech Republic,Alaska,Hillville,events,referral,seo_campaign_12
